,sessionID,time,x,y
0,s82,2016-09-11 23:42:22,517124.8892941056,202226.3419914078
1,s82,2016-09-11 23:42:27,517119.1443691817,202206.6710100933
2,s82,2016-09-11 23:42:32,517119.1443691817,202206.6710100933
3,s82,2016-09-11 23:42:37,517119.21041389974,202207.7789311204
4,s82,2016-09-11 23:42:42,517119.21041389974,202207.7789311204
5,s82,2016-09-11 23:42:47,517119.21041389974,202207.7789311204
6,s82,2016-09-11 23:42:52,517119.21041389974,202207.7789311204
7,s82,2016-09-11 23:42:57,517119.21041389974,202207.7789311204
8,s82,2016-09-11 23:43:02,517119.21041389974,202207.7789311204
9,s82,2016-09-11 23:43:07,517119.21041389974,202207.7789311204
10,s82,2016-09-11 23:43:12,517119.21041389974,202207.7789311204
11,s82,2016-09-11 23:43:17,517119.21041389974,202207.7789311204
12,s82,2016-09-11 23:43:22,517119.21041389974,202207.7789311204
13,s82,2016-09-11 23:43:27,517119.21041389974,202207.7789311204
14,s82,2016-09-11 23:43:32,517119.21041389974,202207.7789311204
15,s82,2016-09-11 23:43:37,517119.21041389974,202207.7789311204
16,s82,2016-09-11 23:43:42,517119.21041389974,202207.7789311204
17,s82,2016-09-11 23:43:47,517119.21041389974,202207.7789311204
18,s82,2016-09-11 23:43:52,517119.21041389974,202207.7789311204
19,s82,2016-09-11 23:43:57,517119.21041389974,202207.7789311204
20,s82,2016-09-11 23:44:02,517119.21041389974,202207.7789311204
21,s82,2016-09-11 23:44:07,517119.21041389974,202207.7789311204
22,s06,2016-09-11 06:53:13,813093.006897294,927907.1408251841
23,s06,2016-09-11 06:53:18,813093.006897294,927907.1408251841
24,s06,2016-09-11 06:53:24,813093.006897294,927907.1408251841
25,s06,2016-09-11 06:53:29,813093.006897294,927907.1408251841
26,s06,2016-09-11 06:53:34,813093.006897294,927907.1408251841
27,s06,2016-09-11 06:53:39,813093.006897294,927907.1408251841
28,s06,2016-09-11 06:53:44,813093.006897294,927907.1408251841
29,s06,2016-09-11 06:53:49,813093.006897294,927907.1408251841
30,s06,2016-09-11 06:54:43,813523.9835605663,928150.9848388289
31,s06,2016-09-11 06:54:48,813556.1082011801,928234.7934780042
32,s06,2016-09-11 06:54:53,813570.7481902065,928323.4889654657
33,s06,2016-09-11 06:54:58,813568.815507269,928404.6225670641
34,s06,2016-09-11 06:55:03,813582.779464473,928485.5051341979
35,s06,2016-09-11 06:55:08,813602.7652708031,928566.9912315202
36,s06,2016-09-11 06:55:13,813589.7764805336,928646.832989214
37,s06,2016-09-11 06:55:18,813547.4726698427,928721.3398755062
38,s06,2016-09-11 06:55:23,813508.5170905208,928800.055060029
39,s06,2016-09-11 06:55:28,813484.062581629,928885.3872230919
40,s06,2016-09-11 06:55:33,813479.2621926866,928967.8943150998
41,s06,2016-09-11 06:55:54,813641.2400893173,929253.0080390442
42,s06,2016-09-11 06:55:59,813704.7995951292,929320.6034527514
43,s06,2016-09-11 06:56:04,813762.9604015043,929371.7975257449
44,s06,2016-09-11 06:56:09,813817.2679949971,929424.449444985
45,s06,2016-09-11 06:56:14,813875.6446541562,929466.6278882502
46,s06,2016-09-11 06:56:19,813947.365350069,929502.028056649
47,s06,2016-09-11 06:56:24,814019.3765189829,929540.7763097906
48,s06,2016-09-11 06:56:29,814098.4949758397,929581.1578533119
49,s06,2016-09-11 06:56:34,814162.7996674031,929622.8216098859
50,s06,2016-09-11 06:56:39,814228.3825506894,929667.7480454091
51,s06,2016-09-11 06:58:04,814347.6049312851,930550.3406531462
52,s06,2016-09-11 06:58:09,814348.8826656202,930553.6037727338
53,s06,2016-09-11 06:58:14,814351.2027126281,930580.3930637301
54,s06,2016-09-11 06:58:19,814358.5160152595,930630.366400389
55,s06,2016-09-11 06:58:24,814386.7442596471,930692.0235910034
56,s06,2016-09-11 06:58:29,814423.5515431594,930760.809972072
57,s06,2016-09-11 06:58:34,814460.5526516568,930831.828773329
58,s06,2016-09-11 06:58:39,814494.9776762337,930907.5691273008
59,s06,2016-09-11 06:58:44,814495.6254772777,930983.986002746
60,s06,2016-09-11 06:58:49,814517.7143444763,931055.1720484542
61,s06,2016-09-11 06:58:54,814594.0010308558,931085.676044777
62,s06,2016-09-11 06:58:59,814677.8037354122,931111.0299278656
63,s06,2016-09-11 06:59:04,814753.3177714851,931132.6028331108
64,s06,2016-09-11 06:59:09,814824.8398343483,931177.0133182826
65,s06,2016-09-11 06:59:14,814889.157803521,931218.6738047185
66,s06,2016-09-11 06:59:19,814963.6091858004,931227.9665407762
67,s06,2016-09-11 06:59:24,815045.016061034,931214.1635533557
68,s06,2016-09-11 07:00:00,815661.5940788183,931162.9527105577
69,s06,2016-09-11 07:00:05,815746.951055645,931148.8009317275
70,s06,2016-09-11 07:00:10,815828.8214669349,931151.820197375
71,s06,2016-09-11 07:00:15,815907.9223099714,931157.3283107579
72,s06,2016-09-11 07:00:20,815993.0469157081,931163.4377045166
73,s06,2016-09-11 07:00:25,816066.221305849,931169.4587724837
74,s06,2016-09-11 07:00:30,816142.3401753008,931186.4700241499
75,s06,2016-09-11 07:00:35,816210.6728366064,931194.034843679
76,s06,2016-09-11 07:00:40,816270.1910466538,931157.3790998785
77,s06,2016-09-11 07:00:45,816303.5983486366,931083.6275836043
78,s06,2016-09-11 07:00:50,816294.5494744107,931002.3152978797
79,s06,2016-09-11 07:00:55,816309.4977546446,930922.293897388
80,s06,2016-09-11 07:01:00,816348.4238671358,930854.8111111745
81,s06,2016-09-11 07:01:05,816387.3306849985,930798.5761008947
82,s06,2016-09-11 07:01:10,816455.8136790828,930773.5116952187
83,s06,2016-09-11 07:01:15,816537.0815856112,930781.0753221423
84,s06,2016-09-11 07:01:20,816601.6964356154,930826.0724683143
85,s06,2016-09-11 07:01:25,816663.8700485267,930854.4118791674
86,s06,2016-09-11 07:01:30,816739.4245615168,930853.4730366026
87,s06,2016-09-11 07:01:35,816826.1716978583,930832.4426636249
88,s06,2016-09-11 07:01:40,816907.2828816362,930815.2749699522
89,s06,2016-09-11 07:01:45,816973.0816163057,930862.4162410549
